+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| CUUR0000SA0 | 2024 |  M09   | 315.301 |           |
| CUUR0000SA0 | 2024 |  M08   | 314.796 |           |
| CUUR0000SA0 | 2024 |  M07   | 314.540 |           |
| CUUR0000SA0 | 2024 |  M06   | 314.175 |           |
| CUUR0000SA0 | 2024 |  M05   | 314.069 |           |
| CUUR0000SA0 | 2024 |  M04   | 313.548 |           |
| CUUR0000SA0 | 2024 |  M03   | 312.332 |           |
| CUUR0000SA0 | 2024 |  M02   | 310.326 |           |
| CUUR0000SA0 | 2024 |  M01   | 308.417 |           |
| CUUR0000SA0 | 2023 |  M12   | 306.746 |           |
| CUUR0000SA0 | 2023 |  M11   | 307.051 |           |
| CUUR0000SA0 | 2023 |  M10   | 307.671 |           |
| CUUR0000SA0 | 2023 |  M09   | 307.789 |           |
| CUUR0000SA0 | 2023 |  M08   | 307.026 |           |
| CUUR0000SA0 | 2023 |  M07   | 305.691 |           |
| CUUR0000SA0 | 2023 |  M06   | 305.109 |           |
| CUUR0000SA0 | 2023 |  M05   | 304.127 |           |
| CUUR0000SA0 | 2023 |  M04   | 303.363 |           |
| CUUR0000SA0 | 2023 |  M03   | 301.836 |           |
| CUUR0000SA0 | 2023 |  M02   | 300.840 |           |
| CUUR0000SA0 | 2023 |  M01   | 299.170 |           |
| CUUR0000SA0 | 2022 |  M12   | 296.797 |           |
| CUUR0000SA0 | 2022 |  M11   | 297.711 |           |
| CUUR0000SA0 | 2022 |  M10   | 298.012 |           |
| CUUR0000SA0 | 2022 |  M09   | 296.808 |           |
| CUUR0000SA0 | 2022 |  M08   | 296.171 |           |
| CUUR0000SA0 | 2022 |  M07   | 296.276 |           |
| CUUR0000SA0 | 2022 |  M06   | 296.311 |           |
| CUUR0000SA0 | 2022 |  M05   | 292.296 |           |
| CUUR0000SA0 | 2022 |  M04   | 289.109 |           |
| CUUR0000SA0 | 2022 |  M03   | 287.504 |           |
| CUUR0000SA0 | 2022 |  M02   | 283.716 |           |
| CUUR0000SA0 | 2022 |  M01   | 281.148 |           |
| CUUR0000SA0 | 2021 |  M12   | 278.802 |           |
| CUUR0000SA0 | 2021 |  M11   | 277.948 |           |
| CUUR0000SA0 | 2021 |  M10   | 276.589 |           |
| CUUR0000SA0 | 2021 |  M09   | 274.310 |           |
| CUUR0000SA0 | 2021 |  M08   | 273.567 |           |
| CUUR0000SA0 | 2021 |  M07   | 273.003 |           |
| CUUR0000SA0 | 2021 |  M06   | 271.696 |           |
| CUUR0000SA0 | 2021 |  M05   | 269.195 |           |
| CUUR0000SA0 | 2021 |  M04   | 267.054 |           |
| CUUR0000SA0 | 2021 |  M03   | 264.877 |           |
| CUUR0000SA0 | 2021 |  M02   | 263.014 |           |
| CUUR0000SA0 | 2021 |  M01   | 261.582 |           |
| CUUR0000SA0 | 2020 |  M12   | 260.474 |           |
| CUUR0000SA0 | 2020 |  M11   | 260.229 |           |
| CUUR0000SA0 | 2020 |  M10   | 260.388 |           |
| CUUR0000SA0 | 2020 |  M09   | 260.280 |           |
| CUUR0000SA0 | 2020 |  M08   | 259.918 |           |
| CUUR0000SA0 | 2020 |  M07   | 259.101 |           |
| CUUR0000SA0 | 2020 |  M06   | 257.797 |           |
| CUUR0000SA0 | 2020 |  M05   | 256.394 |           |
| CUUR0000SA0 | 2020 |  M04   | 256.389 |           |
| CUUR0000SA0 | 2020 |  M03   | 258.115 |           |
| CUUR0000SA0 | 2020 |  M02   | 258.678 |           |
| CUUR0000SA0 | 2020 |  M01   | 257.971 |           |
+-------------+------+--------+---------+-----------+
