+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| SUUR0000SA0 | 2024 |  M09   | 175.410 |  Initial  |
| SUUR0000SA0 | 2024 |  M08   | 175.196 |  Initial  |
| SUUR0000SA0 | 2024 |  M07   | 175.100 |  Initial  |
| SUUR0000SA0 | 2024 |  M06   | 174.924 |  Interim  |
| SUUR0000SA0 | 2024 |  M05   | 174.920 |  Interim  |
| SUUR0000SA0 | 2024 |  M04   | 174.654 |  Interim  |
| SUUR0000SA0 | 2024 |  M03   | 173.976 |  Interim  |
| SUUR0000SA0 | 2024 |  M02   | 172.833 |  Interim  |
| SUUR0000SA0 | 2024 |  M01   | 171.726 |  Interim  |
| SUUR0000SA0 | 2023 |  M12   | 170.829 |  Interim  |
| SUUR0000SA0 | 2023 |  M11   | 171.033 |  Interim  |
| SUUR0000SA0 | 2023 |  M10   | 171.409 |  Interim  |
| SUUR0000SA0 | 2023 |  M09   | 171.490 |           |
| SUUR0000SA0 | 2023 |  M08   | 171.128 |           |
| SUUR0000SA0 | 2023 |  M07   | 170.461 |           |
| SUUR0000SA0 | 2023 |  M06   | 170.303 |           |
| SUUR0000SA0 | 2023 |  M05   | 169.774 |           |
| SUUR0000SA0 | 2023 |  M04   | 169.376 |           |
| SUUR0000SA0 | 2023 |  M03   | 168.501 |           |
| SUUR0000SA0 | 2023 |  M02   | 168.069 |           |
| SUUR0000SA0 | 2023 |  M01   | 167.267 |           |
| SUUR0000SA0 | 2022 |  M12   | 165.974 |           |
| SUUR0000SA0 | 2022 |  M11   | 166.498 |           |
| SUUR0000SA0 | 2022 |  M10   | 166.609 |           |
| SUUR0000SA0 | 2022 |  M09   | 165.845 |           |
| SUUR0000SA0 | 2022 |  M08   | 165.389 |           |
| SUUR0000SA0 | 2022 |  M07   | 165.495 |           |
| SUUR0000SA0 | 2022 |  M06   | 165.553 |           |
| SUUR0000SA0 | 2022 |  M05   | 163.615 |           |
| SUUR0000SA0 | 2022 |  M04   | 161.787 |           |
| SUUR0000SA0 | 2022 |  M03   | 160.835 |           |
| SUUR0000SA0 | 2022 |  M02   | 158.617 |           |
| SUUR0000SA0 | 2022 |  M01   | 157.178 |           |
| SUUR0000SA0 | 2021 |  M12   | 155.926 |           |
| SUUR0000SA0 | 2021 |  M11   | 155.538 |           |
| SUUR0000SA0 | 2021 |  M10   | 154.884 |           |
| SUUR0000SA0 | 2021 |  M09   | 153.734 |           |
| SUUR0000SA0 | 2021 |  M08   | 153.301 |           |
| SUUR0000SA0 | 2021 |  M07   | 153.076 |           |
| SUUR0000SA0 | 2021 |  M06   | 152.295 |           |
| SUUR0000SA0 | 2021 |  M05   | 151.022 |           |
| SUUR0000SA0 | 2021 |  M04   | 149.903 |           |
| SUUR0000SA0 | 2021 |  M03   | 148.746 |           |
| SUUR0000SA0 | 2021 |  M02   | 147.845 |           |
| SUUR0000SA0 | 2021 |  M01   | 147.125 |           |
| SUUR0000SA0 | 2020 |  M12   | 146.408 |           |
| SUUR0000SA0 | 2020 |  M11   | 146.242 |           |
| SUUR0000SA0 | 2020 |  M10   | 146.382 |           |
| SUUR0000SA0 | 2020 |  M09   | 146.417 |           |
| SUUR0000SA0 | 2020 |  M08   | 146.270 |           |
| SUUR0000SA0 | 2020 |  M07   | 145.747 |           |
| SUUR0000SA0 | 2020 |  M06   | 144.847 |           |
| SUUR0000SA0 | 2020 |  M05   | 144.018 |           |
| SUUR0000SA0 | 2020 |  M04   | 144.142 |           |
| SUUR0000SA0 | 2020 |  M03   | 144.913 |           |
| SUUR0000SA0 | 2020 |  M02   | 145.193 |           |
| SUUR0000SA0 | 2020 |  M01   | 144.813 |           |
+-------------+------+--------+---------+-----------+
