seriesID,state,industry_name,year,period,value
JTS000000010000000JOL,Alabama,Total nonfarm,2024,M08,128
JTS000000010000000JOL,Alabama,Total nonfarm,2024,M07,130
JTS000000010000000JOL,Alabama,Total nonfarm,2024,M06,120
JTS000000010000000JOL,Alabama,Total nonfarm,2024,M05,121
JTS000000010000000JOL,Alabama,Total nonfarm,2024,M04,124
JTS000000010000000JOL,Alabama,Total nonfarm,2024,M03,121
JTS000000010000000JOL,Alabama,Total nonfarm,2024,M02,122
JTS000000010000000JOL,Alabama,Total nonfarm,2024,M01,129
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M12,134
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M11,120
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M10,124
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M09,141
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M08,140
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M07,131
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M06,136
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M05,132
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M04,137
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M03,139
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M02,143
JTS000000010000000JOL,Alabama,Total nonfarm,2023,M01,148
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M12,155
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M11,152
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M10,154
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M09,153
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M08,140
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M07,169
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M06,160
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M05,157
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M04,174
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M03,160
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M02,140
JTS000000010000000JOL,Alabama,Total nonfarm,2022,M01,148
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M12,145
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M11,163
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M10,166
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M09,146
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M08,149
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M07,151
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M06,148
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M05,144
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M04,142
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M03,113
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M02,117
JTS000000010000000JOL,Alabama,Total nonfarm,2021,M01,112
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M12,106
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M11,104
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M10,105
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M09,101
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M08,105
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M07,106
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M06,86
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M05,97
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M04,72
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M03,80
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M02,98
JTS000000010000000JOL,Alabama,Total nonfarm,2020,M01,99
JTS000000020000000JOR,Alaska,Total nonfarm,2024,M08,6.6
JTS000000020000000JOR,Alaska,Total nonfarm,2024,M07,6.4
JTS000000020000000JOR,Alaska,Total nonfarm,2024,M06,6.9
JTS000000020000000JOR,Alaska,Total nonfarm,2024,M05,6.9
JTS000000020000000JOR,Alaska,Total nonfarm,2024,M04,6.7
JTS000000020000000JOR,Alaska,Total nonfarm,2024,M03,6.9
JTS000000020000000JOR,Alaska,Total nonfarm,2024,M02,7.5
JTS000000020000000JOR,Alaska,Total nonfarm,2024,M01,7.0
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M12,7.2
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M11,7.8
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M10,7.0
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M09,7.8
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M08,7.3
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M07,6.8
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M06,8.1
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M05,6.9
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M04,8.4
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M03,7.9
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M02,7.9
JTS000000020000000JOR,Alaska,Total nonfarm,2023,M01,8.2
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M12,9.0
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M11,8.5
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M10,8.1
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M09,8.1
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M08,11.4
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M07,8.3
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M06,8.6
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M05,8.9
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M04,8.6
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M03,9.1
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M02,9.2
JTS000000020000000JOR,Alaska,Total nonfarm,2022,M01,8.9
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M12,9.4
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M11,8.9
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M10,9.3
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M09,8.8
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M08,9.1
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M07,9.6
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M06,8.9
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M05,7.3
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M04,7.7
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M03,7.2
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M02,6.7
JTS000000020000000JOR,Alaska,Total nonfarm,2021,M01,6.7
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M12,6.4
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M11,6.4
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M10,7.0
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M09,6.9
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M08,6.4
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M07,5.6
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M06,2.7
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M05,2.1
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M04,4.7
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M03,6.0
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M02,6.5
JTS000000020000000JOR,Alaska,Total nonfarm,2020,M01,6.5
JTS000000040000000JOR,Arizona,Total nonfarm,2024,M08,5.6
JTS000000040000000JOR,Arizona,Total nonfarm,2024,M07,5.1
JTS000000040000000JOR,Arizona,Total nonfarm,2024,M06,5.6
JTS000000040000000JOR,Arizona,Total nonfarm,2024,M05,4.8
